comparison,dm_statistic,p_value,better_model,significant_at_5pct,horizon
GNN vs Rolling Correlation,-1.5625746262527114,0.12128068288564697,GNN,False,t1
GNN vs VAR,-0.4717767902995163,0.6381037360152628,GNN,False,t1
GNN vs Static GCN,-0.28288434278985786,0.7778444539507037,GNN,False,t1
GNN vs Rolling Correlation,-2.8666950672151237,0.005048599717401903,GNN,True,t5
GNN vs VAR,-0.17109414990845564,0.8644920400641096,GNN,False,t5
GNN vs Static GCN,-5.198929939180911,1.0497113456242602e-06,GNN,True,t5
GNN vs Rolling Correlation,-3.766716115938331,0.0002782747845220257,GNN,True,t10
GNN vs VAR,1.901256720738343,0.060118693863226325,Baseline,False,t10
GNN vs Static GCN,1.3708114515843643,0.17347235041307885,Baseline,False,t10
