asset,pre_2020_mean_spillover,post_2020_mean_spillover,change,n_pre,n_post
ETH,-0.00016758528326739784,4.6417557380416174e-05,0.000214002840647814,119,220
SPY,2.8602716301669595e-05,5.1931359551169655e-05,2.332864324950006e-05,119,220
HYG,2.703615346876513e-05,4.245818338610909e-05,1.542202991734396e-05,119,220
EEM,3.242123277247453e-05,4.266358234665611e-05,1.024234957418158e-05,119,220
LQD,1.1466443538665771e-05,1.8084489486434243e-05,6.618045947768471e-06,119,220
DXY,1.3611271601765096e-05,1.9248710437254472e-05,5.637438835489376e-06,119,220
TLT,6.170959031882406e-06,6.6809017549861565e-06,5.099427231037506e-07,119,220
USO,1.04529141378002e-05,6.343085657466542e-06,-4.109828480333658e-06,119,220
GLD,2.2438080871806425e-05,1.3153729113665494e-05,-9.28435175814093e-06,119,220
