regime,n_snapshots,mean_w_norm_l0,mean_w_norm_l1,mean_pred_magnitude
calm,248,0.7980195879936218,36.968048095703125,0.002060200786218047
stress,106,0.7911878824234009,35.63414764404297,0.0030344482511281967
crisis,5,0.8006316423416138,37.46558380126953,0.004181117285043001
